Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.243779,62.914925,73.596949,77.498907,50.55834,53.539169,64.795153,76.485338,76.37893,84.835788,91.975689,111.7899,144.25544,150.59481,160.2065,192.10069,140.04399,135.89929,118.0144,100.03179,104.85485,94.622201,94.109237,85.404662,89.045714,83.042025,73.551862,65.551182,62.216909,62.495919,63.716064,71.71464,76.34014,84.229013,78.541207,72.965764,48.95097,37.113351,33.944362,36.233746,34.407332,30.223498,29.08793,28.298954,27.742438,29.506448,31.155126,32.872792,33.595137
Bosnia and Herzegovina,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,54.397341,56.038876,34.686286,35.230081,31.198184,27.635188,25.486588,25.515152,21.24532,18.709226,30.885399,35.066603,40.80537,39.550107,42.20738,42.499066,45.858714,45.531113,44.081497,39.239713,34.250914
Botswana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.335591,43.382576,40.204921,40.156488,43.140235,40.089905,20.695833,13.351647,12.559178,15.607692,18.434417,18.528567,21.802848,30.730346,26.638255,22.69331,17.145549,15.862791,14.388551,15.920093,15.259951,16.569066,16.190843,14.940671,12.713828,10.642861,11.963551,9.5594105,8.2127534,7.5662932,8.4768457,7.2474799,10.679692,7.761634,6.5870594,5.6684392,7.6198761,18.751879,21.447539,20.593605,19.820339,18.115792,17.351426,17.911181,15.823778,13.587929,12.280791
Brazil,8.9678571,6.8742212,5.5413825,13.956802,14.682077,17.041658,34.556842,22.069595,30.620768,24.001135,22.266283,25.663969,23.657754,20.402121,22.180415,21.896205,17.360268,16.347065,17.358329,18.438165,18.250056,20.117003,26.494834,21.064147,21.19298,23.995685,26.091771,28.745812,32.451972,30.771221,48.167313,53.734606,52.265189,47.919976,91.085649,58.886159,56.322372,107.70812,75.674178,33.814156,50.020402,60.32851,98.449274,77.053823,39.513874,32.725103,40.26331,42.461513,54.373558,64.55905,62.647505,66.267926,75.041215,70.643443,67.159005,66.333912,64.025198,62.496853,60.691633,63.866542,61.349393,59.342743,59.841635,57.232789,58.455936,67.543682,73.470203,79.019099,82.472479
Brunei Darussalam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.6271363,1.7656357,0.88556898,0.36640918,0.28660888,0.59297712,0.68423268,0.93910677,1.1099476,1.1129075,2.1285201,2.1006368,2.2085993,3.2312276,2.9530869,3.0048789,2.8255071,2.585699
Bulgaria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.9,6.7,10.3,14.9,22,27,29.4,39.6,48,57.1,115.2,145.95946,302.1871,179.82056,108.88226,147.47752,99.768429,74.017996,70.993413,72.432376,67.314401,53.666449,46.482277,38.481164,29.782062,27.822527,23.102178,19.753296,21.443232,21.300023,20.572831,21.782789,22.128786,32.634384,30.961355,35.12495,31.302202,27.950769
Burkina Faso,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.5116536,2.7627959,2.8197768,3.7882756,5.3947523,7.3410667,10.886267,12.457999,14.858715,15.966608,16.295766,19.196337,22.022969,26.940418,30.610789,32.047302,31.020009,34.511178,32.424521,28.725993,28.793435,32.315539,33.279443,37.780627,61.991906,55.034833,51.561731,54.402446,53.62856,52.233944,53.390469,52.44877,48.669628,44.636451,45.835942,44.092086,22.656209,25.65947,25.902948,29.097339,31.226019,27.564583,28.366923,29.147205,29.872813,35.612954,39.24106,38.401168,42.880171
Burundi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.676643,6.3438928,7.2539128,8.9753036,10.38695,9.510366,8.4688034,6.9271199,7.5500097,7.8289474,7.2789332,8.8638597,10.289896,12.407711,17.341722,22.188781,19.211775,22.685379,27.186447,37.011103,44.285458,47.686279,54.810624,74.867571,81.841977,83.452747,84.040817,84.350586,93.458499,111.9717,119.62528,117.12097,139.3973,122.80046,138.86754,140.64547,136.42511,127.38667,159.08831,171.96926,172.73834,136.98012,130.25485,129.61325,102.51523,25.690163,46.911653,42.70571,41.430787,36.106387,35.772482,45.263352,48.419653,51.711555,58.440227
Cabo Verde,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,32.973278,44.175315,53.139859,58.343652,68.658223,54.976713,45.295789,45.245823,42.394425,38.664399,45.496497,61.269998,57.008,73.386341,74.265484,85.739682,89.513969,82.227784,69.967778,82.636759,79.913842,82.551898,81.358895,83.744573,85.338579,77.72692,64.980958,57.600403,64.141831,72.545521,78.497221,91.092431,102.48988,115.92352,126.64856,128.36478,127.21687,124.50306
Cameroon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.531159,14.919104,13.573678,13.764861,13.506305,15.812296,19.75202,28.041564,30.097889,30.938579,29.080029,26.182503,26.046974,26.06404,23.434369,25.639688,26.37904,26.933749,28.3095,37.489119,44.258558,46.948485,58.016805,57.761926,97.504403,115.03694,101.78255,no data,73.197874,73.858013,79.315661,65.614725,60.410583,56.427599,55.76896,47.650002,19.810129,14.749608,11.657101,12.035677,14.704483,15.690083,15.411946,18.211933,21.533792,25.947344,26.68226,30.513513,33.832437
