Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,16.226067,no data,13.158241,12.851568,12.53555,8.8553463,6.3104096,5.9050038,4.2701031,3.59107,2.6491201,no data,10.356142,14.227183,18.00244,17.614707,18.389272,21.196028,20.131389,19.841143,18.195659,15.582499,18.389267,18.679631,20.421749,19.260359,16.937481,16.259992,14.614635,15.388909,12.775708,12.485349,12.939684,12.078143,11.814151,11.041015,9.8038266,8.6571497,7.9778445,9.9157841,14.196892,16.209631,16.68199,17.229428,17.041285,19.80319,22.421641,25.899271,28.120781,27.430753,26.948668,29.983794,29.489959,30.234556,30.800432,33.706505,35.479134,37.28732,37.621077,37.677733,37.923079
Kosovo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.1187499,5.9041398,5.2497415,8.1556217,8.9890603,10.571749,13.047999,14.348983,16.305027,16.968193
Kuwait,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.0772534,21.357676,24.570541,no data,151.13753,117.70173,88.90641,88.457858,77.977155,58.976441,52.160053,55.13867,46.554298,34.915311,35.120277,29.950557,22.99772,17.301775,11.804893,8.2570115,7.0471601,5.3760998,6.653288,6.1609899,4.6410971,3.6020541,3.091986,3.4291891,4.6534537,10.017924,20.682723,14.738226
Kyrgyz Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,42.400659,52.425663,57.651788,64.802583,85.123349,119.56963,123.30265,108.20749,107.94147,108.23028,92.666456,85.660709,73.35469,57.743779,49.011562,58.494401,59.69859,50.055759,50.477879,47.124756,53.596786,67.087345,59.072818,58.786107,56.025542
Lao P.D.R.,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.249211,14.961822,32.537397,52.602227,33.389136,64.126227,70.780348,40.800561,33.01683,31.469964,63.548159,121.11906,213.48633,192.61276,193.28267,172.56042,154.04446,140.98541,128.4903,113.02782,58.786332,82.707996,194.09228,87.583379,59.268133,94.724906,95.30836,90.148352,80.653409,73.202597,60.007021,55.92979,51.723481,51.822517,49.315029,43.004504,46.103242,49.493353,53.534106,53.052209,54.222905,55.799122,57.185078
Latvia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.493227,12.996507,9.8665415,8.4708793,11.640419,11.960807,13.701834,12.905965,12.699236,12.62842,10.124933,8.3292626,6.4987929,15.457503,31.606574,39.306441,36.556898,35.938873,35.516047,38.158432,34.587933,38.75084,35.8782,34.537424
Lebanon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.8460906,4.9620422,3.9833043,5.2192193,5.0681518,no data,22.376471,17.715266,22.800489,26.293495,34.006882,44.471882,127.06091,133.91384,109.34457,86.09579,82.138978,36.009055,41.568371,no data,99.761333,67.17166,51.711902,50.533446,71.55787,79.635866,101.22029,100.30762,108.26884,130.29716,148.174,163.19035,163.22504,171.42204,169.65907,178.98595,183.07438,168.9856,160.88779,144.18301,136.91523,133.88767,130.41668,135.44253,137.82448,140.71427,146.14942,148.95799,151.02976
Lesotho,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.370908,5.5596356,5.5242954,4.6345682,4.2249392,5.5564855,7.2871797,14.905297,13.7995,20.596253,26.596253,35.684757,56.033918,52.132067,52.815354,79.687308,85.446729,90.137051,98.125545,105.59326,96.476388,106.12001,73.282238,71.316169,67.092217,62.926168,71.745129,65.769844,79.534576,83.093021,88.612737,110.42158,81.756761,54.859242,48.790611,52.77338,54.80729,50.934501,44.870807,34.076652,31.819608,33.71275,36.990571,38.5448,38.843708,43.240814,37.034978,37.106596,44.526953
Liberia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,29.180091,26.669127,23.952188,27.187737,30.60271,39.532934,46.686398,177.88757,156.04074,160.93203,171.58037,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,420.8891,421.50333,426.56534,547.77642,473.91296,464.22043,407.55639,336.22357,197.41517,114.00387,21.94103,19.327668,17.577185,17.858158,21.675715,25.880305,28.302458,33.95709,39.91151
Libya,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.9915821,7.0315468,14.590283,11.939629,9.3948753,21.401699,19.059828,10.137755,17.344188,21.653938,15.78552,25.378702,25.638743,29.552117,29.749614,31.00606,64.858756,65.183058,63.765739,61.055027,62.555342,59.342449,57.590506,50.712478,48.746576,52.229965,40.199405,41.961023,41.664335,33.908786,26.244386,2.7896786,1.9395531,1.6637526,4.0953481,1.194316,2.3193922,1.7427162,11.785985,2.3731135,4.1567163,80.357941,189.27364,192.75306,142.70911,no data
Lithuania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.441234,13.729386,14.905667,15.894762,21.630572,22.167532,21.748565,21.186547,19.273596,17.747755,16.834306,16.39757,14.978309,13.393266,26.398171,33.638199,34.023636,36.763298,35.871073,37.632614,39.793335,37.657435,38.164691,33.141719
Luxembourg,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.489651,12.615148,11.344491,9.8403468,7.856145,6.6411796,6.1768314,6.0563144,5.5628955,4.8071201,4.3946975,4.6375298,5.1791184,5.5767435,5.8073971,5.503462,5.7806463,4.8435614,3.5692228,2.6457859,1.8233542,1.2849335,1.5279019,1.928251,1.911446,2.6173733,3.4208415,3.7326167,4.0621126,3.5147789,3.0217423,2.9332952,2.5599031,1.6629881,1.4035854,0.82781126,1.4623628,1.4309192,8.4765989,8.7407103,13.022117,12.121016,14.127675,15.660417,15.016769,14.50596,13.510497,16.652652,16.11335
Madagascar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.386569,35.992851,34.328891,29.326507,39.939829,35.39665,14.159297,40.185634,25.873123,36.813201,48.515842,68.152447,76.067352,76.804856,94.27271,110.09625,113.29739,159.7228,165.28571,155.07344,133.19954,154.01604,135.88205,126.80425,113.54162,116.4086,121.86791,107.89682,127.7135,119.68677,107.69648,98.624035,105.50987,99.954868,95.047146,86.467027,37.366637,32.750185,35.248202,39.204499,36.982292,34.969278,35.525803,42.47114,34.65122,35.685248,47.126667,46.01697,45.717796
Malawi,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,24.645841,22.233089,24.92957,29.522039,27.842471,27.301633,29.141747,31.291263,35.766843,34.993851,35.639007,41.144976,45.785827,47.001327,46.454131,51.818237,60.299635,72.589341,61.30405,56.464423,53.559742,45.935396,60.57145,58.012616,102.05291,92.516941,57.635134,48.980409,82.48822,87.486028,86.545363,no data,142.91936,119.31596,105.1224,99.874283,25.216694,26.67845,33.121122,33.069509,27.191849,28.136619,40.277562,50.590308,47.760359,54.435078,55.101326,57.074026,59.537624
Malaysia,3.9429373,3.0729167,3.8661417,5.7021338,7.8143964,12.179487,12.183794,14.943426,no data,no data,19.505164,24.920924,22.775952,23.516695,24.217965,27.436419,28.021546,29.799408,32.007356,35.372241,35.689015,39.876649,42.368328,38.044231,33.898909,39.867198,41.938719,43.191677,42.621166,41.053793,40.243608,49.451147,61.234423,67.996814,66.641157,75.470401,94.609283,94.74171,89.82031,79.669841,74.129464,67.319662,59.109023,51.133873,43.722814,37.708883,32.452198,29.29811,33.427664,34.226979,32.363693,37.94826,39.524615,41.387608,41.956845,40.161793,38.749769,38.272059,37.996907,48.533227,48.865735,49.328117,50.923039,52.256858,51.93807,53.574485,51.890596,50.073791,51.215809
Maldives,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.353639,45.030734,38.932658,38.149144,69.782283,82.038143,78.863194,79.18122,67.403263,62.877068,62.888882,63.393655,47.997851,43.029036,42.393021,46.721829,49.044674,55.696798,54.614165,52.229155,46.93407,38.112125,39.26123,38.94849,39.01685,41.844653,44.279279,37.605798,34.674233,43.195941,36.779625,35.823786,38.95796,48.387114,52.747868,51.863707,57.12351,55.949152,55.064998,53.329462,59.374938,61.59088,68.032476
Mali,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,65.803804,61.958503,58.021905,43.504699,48.376747,44.655947,46.726111,48.329352,49.622843,40.536314,45.85361,57.424958,70.908154,80.812992,84.681298,98.797675,86.647144,89.012915,89.919365,77.468828,76.829733,78.987284,86.926824,87.535637,105.04305,87.202394,86.690896,90.740164,91.239945,87.684721,90.521885,77.497752,42.642965,44.149652,42.434421,46.626393,18.0658,18.534527,20.166308,21.915931,25.28873,23.964763,25.389867,26.381859,26.906553,30.661135,36.033686,35.9606,37.273669
Malta,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.257428,19.052131,22.434345,23.384274,25.376185,33.936083,36.30042,32.384386,30.249395,27.316504,25.151749,21.657146,18.344259,17.258366,no data,14.097462,12.821034,12.701197,14.509575,15.004016,14.475956,11.938396,14.978403,17.570318,17.205673,22.94482,25.223484,26.711176,30.919251,31.453445,33.728965,39.676307,49.508978,53.414442,54.816843,52.082315,55.336441,55.598166,61.654634,64.969165,63.502359,59.007754,57.284787,57.519106,63.319002,63.18514,65.640021,64.859582,65.137481,60.289253,55.236708,52.915257,47.525782,43.16013
Mauritania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.684669,14.481687,18.482931,28.416299,34.411197,36.459968,64.687454,77.431044,95.9043,86.035741,89.640267,96.929169,118.76644,126.8065,141.83001,166.6682,171.54132,174.56714,163.95951,158.97903,159.53491,142.46848,125.77039,154.92306,153.95393,150.28887,150.36479,148.15343,149.4095,no data,234.39407,231.72043,204.39614,177.94267,170.86509,154.84419,82.59086,73.425112,52.850792,62.383965,57.027752,50.854176,50.568404,51.25844,59.475616,75.179677,77.417132,75.894443,82.948758
Mexico,5.8956904,4.3586204,4.3950944,4.2652972,4.9133035,4.7955091,4.5235133,4.2747408,4.1039148,4.0593301,4.6267759,4.5012007,4.1969472,4.1334057,6.2210337,9.9854162,9.506521,13.042997,no data,no data,12.517342,11.467426,12.458832,13.528133,13.853589,15.787061,22.350996,22.547299,20.351165,19.519183,15.761126,no data,31.517169,26.800721,26.71255,32.251807,50.651227,55.801133,38.651786,38.165738,37.789961,30.946163,22.79349,20.375136,28.156432,32.458382,25.166004,20.649131,22.243624,20.485047,19.069494,18.479911,20.176972,21.192571,20.117455,19.568714,20.027312,20.474247,24.011392,27.45133,26.895416,27.656842,28.151823,30.761159,32.637716,35.011148,37.021205,35.265804,35.36016
Moldova,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.133425,33.451667,40.107789,69.101036,64.879852,59.649609,50.673177,49.622623,44.055311,33.371168,27.709382,25.229278,19.32647,15.366593,20.161725,21.872753,19.465376,20.084057,19.677884,20.58009,22.990335,31.580362,28.879742,27.372662
Mongolia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.1094,49.440598,49.3186,34.4254,42.4887,52.215702,66.268003,88.745801,67.814384,59.118202,61.534466,77.019356,64.419809,55.894397,41.870644,36.519698,38.559303,44.737058,26.423112,29.284594,45.693212,51.31855,56.821412,62.308826,78.80291,72.509978,59.062851
Montenegro,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,84.478073,42.287806,40.226784,35.16816,30.935659,25.517941,27.621668,36.180348,39.182909,42.984813,53.419842,57.487314,56.187213,62.296963,60.76963,61.126178,68.259898
Morocco,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.486322,29.23676,30.022059,29.314174,27.04836,30.675337,31.142274,30.004981,28.594362,26.608113,36.15252,39.168801,51.397127,56.843557,56.346384,57.162023,72.135901,76.53603,90.428818,100.93635,112.55074,102.08928,108.94878,96.310853,99.510416,95.794763,82.487539,81.409411,85.540855,80.820372,78.157646,70.705903,73.542483,69.824105,68.572234,70.191983,65.403584,64.253077,61.609418,58.906322,59.269993,54.805626,50.935398,45.442766,46.126098,48.997736,52.546668,56.532281,61.727063,63.339205,63.687838,64.858202,65.108808,64.957212
Mozambique,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,115.94022,118.17899,123.39519,75.787062,74.934443,59.705934,70.157949,46.610513,35.990137,36.283254,41.886809,43.325875,38.02583,40.097643,53.125061,67.204548,94.234912,129.93435,100.53131,99.836489
Myanmar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.220537,19.807131,24.097309,26.854157,28.622836,28.404665,25.583966,26.474311,26.580065,25.598111,23.001714,no data,no data,no data,no data,no data,no data,no data,no data,102.44736,104.42204,102.88913,98.564935,88.017946,95.819347,no data,no data,no data,178.89737,131.9749,135.31051,211.25699,166.3642,133.42798,111.77447,105.57166,94.71729,75.470828,58.560534,52.953197,50.24265,47.701437,46.538102,43.431815,37.607617,37.103503,39.816917,35.169511,38.162278
Namibia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.696761,11.705149,11.78639,15.42998,18.739561,17.83991,20.277816,21.191665,20.029785,23.324456,24.6336,21.017982,24.584124,22.366204,27.377284,29.42664,27.142016,25.243489,19.364143,19.096995,15.850734,16.328159,27.449615,24.627843,24.971745,26.791245,40.950306,43.541958,41.636608,46.277593
Nepal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.63778034,1.4858541,1.9778888,2.835868,3.2270557,4.2408763,7.4209624,10.27592,10.020508,10.692606,13.357221,14.460909,20.509491,25.821316,28.76368,32.963982,35.757879,41.43399,40.949883,46.503574,52.457013,52.348022,57.256404,58.155799,60.333957,59.455,57.355953,53.82193,58.595573,63.633436,57.931163,57.906829,59.103266,60.425529,58.542388,51.480751,48.898389,43.213799,41.927355,38.529675,34.035917,31.659316,34.256058,32.171724,28.174933,25.581236,27.862572,26.086795,30.199288
New Zealand,89.152319,85.228469,80.00643,74.133699,69.693307,68.503445,65.866043,63.973952,63.663316,62.371577,60.056054,60.506198,58.151691,57.363409,54.919456,53.466891,54.237038,55.810137,57.39724,55.136623,49.691744,44.554842,40.622197,38.576704,37.782521,36.760937,40.255536,43.158831,45.334554,45.730785,44.757458,43.117101,46.596757,55.799681,56.636058,62.524717,68.577771,62.973149,54.778309,54.989651,55.448836,57.997593,58.665577,54.596425,48.959485,43.50082,37.277951,34.633103,34.497429,32.022607,30.01806,28.171803,26.402767,24.699684,22.5091,20.791749,18.396755,16.299076,18.981063,24.324092,29.687725,34.688457,35.723017,34.604194,34.244282,34.371207,33.526665,31.585377,29.842597
Nicaragua,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.40458,86.469963,99.826428,95.219355,87.475546,110.38549,109.54021,84.047522,66.607603,51.15567,30.916019,25.999247,29.258146,30.34714,28.794343,27.85246,28.835446,28.689616,28.910783,30.915916,33.938327,37.206146
Niger,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.1144436,10.381324,12.555074,13.345021,18.676065,16.552842,15.146286,12.346814,14.847573,14.832313,19.396743,32.603632,35.171907,45.176153,56.22894,68.211782,62.391527,62.83173,62.805911,57.338666,58.084714,57.714682,58.649622,61.647029,89.198226,84.109659,80.979318,91.103556,81.659902,83.731108,109.83367,99.510924,92.294985,77.49033,71.087389,64.133717,23.756478,23.760334,19.013562,21.561656,20.62915,20.119148,24.56606,26.019472,29.016311,39.871998,44.647014,54.365121,53.843341
Nigeria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.021693,11.457581,6.4959013,5.2197585,4.8220749,5.6283809,4.2878679,3.9413806,4.0112399,5.759768,7.9307204,8.3064779,8.3563119,11.448737,15.378818,21.638823,23.218735,23.60903,37.660849,66.563284,58.28107,62.802314,62.419562,69.015319,66.912119,66.421379,55.121344,37.21849,24.530162,23.052275,22.432049,52.781391,55.979532,51.725859,38.704751,37.698361,31.038145,18.940167,9.4041212,8.1163309,7.2761081,8.6172317,9.449583,10.232862,10.419337,10.483402,10.578898,11.503215,14.172128,15.985781,24.080011
North Macedonia ,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,45.430978,18.187183,20.038627,25.042211,no data,no data,no data,no data,39.61396,35.726269,33.889725,35.92791,29.782241,22.889169,20.014531,23.105556,23.675054,27.36334,33.266548,33.790012,37.827603,37.858326,39.648165,39.334369,40.331107
Norway,31.531879,26.343724,23.795581,25.961547,26.189307,26.701129,26.860753,28.14654,28.460985,29.897926,29.460947,25.106638,24.276156,22.975625,22.075138,19.776201,19.43535,20.177775,20.170051,19.907864,20.642452,21.223646,22.784635,23.051077,22.85145,24.128965,25.69816,30.436929,35.241602,38.174116,33.587933,29.494292,25.671428,20.549886,22.863811,25.318189,33.387121,26.028075,25.067424,24.896597,21.986371,22.5242,26.69101,34.646405,32.343635,30.187159,27.006759,24.197785,21.80999,20.446176,18.968448,17.814993,18.643315,20.972572,17.989366,16.790654,12.153631,11.290573,13.423889,25.845992,25.207497,19.95973,20.824365,19.667885,15.45628,15.518829,16.642744,15.84178,14.836867
Oman,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.5156144,2.3880127,13.746853,10.948563,12.607894,6.5707275,7.1246699,0.31644229,0.15185696,0.02386505,1.2553872,0.68672136,0.72727423,1.5209266,5.1976772,2.6356524,4.9546761,2.1430329,1.1213496,26.561869,28.433885,28.094571,30.678048,28.531778,27.580312,27.132829,38.357093,35.387614,26.662395,27.420704,21.065782,19.384032,16.647303,9.5818143,8.6526708,6.8820432,4.7106062,6.6514267,5.8301517,5.1571428,4.8563219,5.029371,4.9252141,15.470481,32.712106,46.416048,53.367626
Pakistan,no data,13.451558,15.923218,17.049572,19.295063,18.461679,19.162348,21.574313,23.330753,21.731819,22.158341,21.218331,20.771639,23.921301,26.60574,28.299574,31.272984,32.375044,34.355469,36.35378,39.407685,41.4305,110.68176,54.152232,47.397329,40.049282,44.734742,45.441074,45.119821,45.887501,41.541654,37.012729,42.147895,41.887446,41.643654,46.210184,53.733051,55.340887,55.992224,58.024043,60.113612,69.449838,66.397244,72.131977,72.962366,65.233329,65.48828,65.794295,66.961726,75.634558,76.798083,81.227672,76.099451,70.492597,63.231442,58.914414,53.722731,52.442589,57.162732,58.473095,60.582118,58.902619,63.243343,63.862972,63.472044,63.323568,67.63324,67.046575,71.690274
Papua New Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.0378512,8.5977847,10.92667,15.392688,13.90401,16.074887,17.697216,14.806145,14.056887,16.087851,17.886932,19.627548,22.247896,25.02769,28.548007,31.470943,32.849561,35.908282,24.38871,27.100224,32.346586,30.799697,29.702317,29.308152,39.152201,35.731567,36.93435,42.916484,44.687294,40.804842,41.367539,46.57692,46.117462,39.497787,36.976624,31.495239,25.980498,22.156642,21.555321,21.716174,17.285863,16.278354,19.123929,24.889627,26.894612,29.930616,33.74019,33.08357,35.489961
Paraguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.8004,34.525603,34.389266,31.831869,25.303077,25.412737,27.023378,24.257301,25.313112,21.366427,18.799318,16.319507,19.77765,23.328725,30.255865,41.12863,40.321441,57.052435,39.840636,56.128122,39.325089,25.752902,25.396561,24.608161,23.917864,21.330955,19.969283,19.050668,23.56098,27.668136,30.241888,30.230879,42.674802,32.186355,22.568311,18.445737,14.210224,11.789434,10.177583,9.7710147,8.7408037,7.3261234,9.2548572,10.18067,12.432646,14.846057,15.509536,15.893833,17.138914
Peru,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,43.397877,43.579455,39.83349,37.226907,29.917154,25.780045,23.083641,22.778063,20.668969,18.360326,16.873429,16.138796,17.057606,20.174641,21.181466,21.373009,22.038698
Poland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.5171187,7.5715324,8.3095564,10.365024,3.2596216,13.779245,19.997927,21.302802,60.454397,48.527778,43.041171,42.478368,39.170457,39.619063,36.274216,32.946056,41.274486,44.988001,44.135116,46.57465,46.592056,42.230473,44.316893,46.021192,48.56097,49.215966,48.719873,50.578047,45.333923,46.358062,49.898468,46.673021,45.104785
Portugal,20.710377,19.670658,19.233838,17.81653,18.237172,17.338056,16.138774,15.299991,18.839453,18.27764,17.474445,17.586978,20.363815,21.57638,22.777744,22.060272,21.350391,19.533406,18.041322,17.285038,17.013661,16.781805,15.692389,15.070638,14.680854,21.096771,25.606515,26.682778,29.467522,20.261824,29.096276,35.836654,39.188875,42.520793,47.148108,50.754905,50.65684,56.621048,56.038178,54.635392,50.654005,51.684073,49.655952,55.416874,57.387625,56.165098,57.437349,53.458874,50.943213,50.965985,49.862788,52.33585,54.864006,57.213803,60.459828,65.262213,66.957014,66.229664,69.498634,81.015754,93.771087,109.16994,125.56478,128.63044,131.19338,129.68114,130.68543,126.55648,123.30741
Qatar,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.718125,17.645275,16.622952,37.533205,44.165868,42.3243,49.546106,48.021895,63.366793,74.399091,52.542963,59.087076,47.592305,39.087753,29.03493,19.171062,13.430801,8.9275077,11.095734,32.447546,29.108451,33.473878,32.118411,30.883226,24.911957,35.546881,46.706774,49.751408,48.624873
Romania,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,18.823344,18.883142,18.377206,18.654431,22.958328,23.100759,27.38727,26.80101,23.461579,19.904589,16.129015,13.418296,13.012887,12.494512,21.185984,28.604554,32.973717,35.698734,36.438126,38.345198,37.421087,37.557614,35.8197,35.903193
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,116,92.4,63.5,53.7,51.9,54.7,73.1,88.7,58.8,48.5,34.5,27.8,21.7,13.275143,8.4353219,6.7382152,6.0807294,7.7679401,8.3719917,8.879432,9.5821177,11.05535,13.781443,14.147817,13.781165,13.456714,12.915969
Rwanda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.6743842,6.626618,9.0428819,10.469989,9.9769282,8.8653063,10.475232,11.734631,13.798975,10.945444,14.473547,16.498859,18.080125,20.954433,24.933595,24.489113,28.720751,35.451896,39.153701,31.928819,58.324161,56.746782,56.829253,60.480122,64.966867,108.97093,98.981638,85.672936,83.149166,92.955819,102.52731,98.628764,107.96142,92.109998,92.084187,67.000298,23.38538,23.202831,19.230259,17.954124,19.008487,16.266122,18.620961,20.778605,26.56043,29.694176,32.914428,36.498829,40.66298
Saint Kitts and Nevis,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.422307,18.748106,17.404057,15.09764,14.574727,14.097127,13.039067,15.715249,13.043042,10.073082,7.8710564,11.211848,14.539433,9.7932395,13.223594,14.958505,21.825924,21.489902,18.827596,12.65913,no data,89.132014,98.539411,92.926773,87.652798,90.192659,93.493483,87.773686,84.023934,58.243871,51.240122,41.680364,37.462285,35.41854,27.734484
